# energy dos
-9.822499999999999787e+00 0.000000000000000000e+00
-9.810100000000000264e+00 0.000000000000000000e+00
-9.797700000000000742e+00 0.000000000000000000e+00
-9.785199999999999676e+00 0.000000000000000000e+00
-9.772800000000000153e+00 0.000000000000000000e+00
-9.760299999999999088e+00 0.000000000000000000e+00
-9.747899999999999565e+00 0.000000000000000000e+00
-9.735500000000000043e+00 0.000000000000000000e+00
-9.723000000000000753e+00 0.000000000000000000e+00
-9.710599999999999454e+00 0.000000000000000000e+00
-9.698100000000000165e+00 0.000000000000000000e+00
-9.685700000000000642e+00 0.000000000000000000e+00
-9.673199999999999577e+00 0.000000000000000000e+00
-9.660800000000000054e+00 0.000000000000000000e+00
-9.648400000000000531e+00 0.000000000000000000e+00
-9.635899999999999466e+00 0.000000000000000000e+00
-9.623499999999999943e+00 0.000000000000000000e+00
-9.611000000000000654e+00 0.000000000000000000e+00
-9.598599999999999355e+00 0.000000000000000000e+00
-9.586199999999999832e+00 0.000000000000000000e+00
-9.573699999999998766e+00 0.000000000000000000e+00
-9.561299999999999244e+00 0.000000000000000000e+00
-9.548799999999999955e+00 0.000000000000000000e+00
-9.536400000000000432e+00 0.000000000000000000e+00
-9.523900000000001143e+00 0.000000000000000000e+00
-9.511499999999999844e+00 0.000000000000000000e+00
-9.499100000000000321e+00 5.037000000000000366e-01
-9.486599999999999255e+00 6.447499999999999787e+00
-9.474199999999999733e+00 1.153139999999999965e+01
-9.461700000000000443e+00 1.786489999999999867e+01
-9.449300000000000921e+00 2.853719999999999857e+01
-9.436799999999999855e+00 5.023969999999999914e+01
-9.424400000000000333e+00 5.179890000000000327e+01
-9.411999999999999034e+00 5.094290000000000163e+01
-9.399499999999999744e+00 4.723420000000000130e+01
-9.387100000000000222e+00 3.953309999999999746e+01
-9.374600000000000932e+00 2.212610000000000099e+01
-9.362199999999999633e+00 4.677999999999999936e+00
-9.349800000000000111e+00 2.022499999999999964e+00
-9.337299999999999045e+00 2.811399999999999899e+00
-9.324899999999999523e+00 1.014010000000000034e+01
-9.312400000000000233e+00 1.626020000000000110e+01
-9.300000000000000711e+00 2.194089999999999918e+01
-9.287499999999999645e+00 3.800410000000000110e+01
-9.275100000000000122e+00 4.427349999999999852e+01
-9.262699999999998823e+00 3.645850000000000080e+01
-9.250199999999999534e+00 1.476114000000000033e+02
-9.237800000000000011e+00 4.257169999999999987e+01
-9.225300000000000722e+00 3.543099999999999916e+00
-9.212900000000001199e+00 2.216800000000000104e+00
-9.200499999999999901e+00 2.081599999999999895e+00
-9.187999999999998835e+00 1.752199999999999980e+00
-9.175599999999999312e+00 1.713700000000000001e+00
-9.163100000000000023e+00 1.675400000000000000e+00
-9.150700000000000500e+00 1.637299999999999978e+00
-9.138200000000001211e+00 1.599599999999999911e+00
-9.125799999999999912e+00 1.567499999999999893e+00
-9.113399999999998613e+00 1.558699999999999974e+00
-9.100899999999999324e+00 1.574500000000000011e+00
-9.088499999999999801e+00 1.611399999999999944e+00
-9.076000000000000512e+00 1.652300000000000102e+00
-9.063600000000000989e+00 1.694600000000000106e+00
-9.051199999999999690e+00 1.738299999999999956e+00
-9.038699999999998624e+00 1.783300000000000107e+00
-9.026299999999999102e+00 1.829599999999999893e+00
-9.013799999999999812e+00 1.877399999999999958e+00
-9.001400000000000290e+00 1.932199999999999918e+00
-8.988900000000001000e+00 1.997300000000000075e+00
-8.976499999999999702e+00 2.072200000000000042e+00
-8.964100000000000179e+00 2.156600000000000072e+00
-8.951599999999999113e+00 2.250999999999999890e+00
-8.939199999999999591e+00 2.354699999999999793e+00
-8.926700000000000301e+00 2.467699999999999783e+00
-8.914300000000000779e+00 2.589799999999999880e+00
-8.901900000000001256e+00 2.720200000000000173e+00
