#k-distance eigenvalue[eV]
0.70630407 -28.88540000
0.72259047 -28.88520000
0.73887688 -28.88500000
0.75516329 -28.88480000
0.77144971 -28.88470000
0.78773612 -28.88450000
0.80402253 -28.88430000
0.82030893 -28.88410000
0.83659534 -28.88390000
0.85288176 -28.88370000
0.86916817 -28.88350000
0.88545458 -28.88330000
0.90174099 -28.88310000
0.91802741 -28.88300000
0.93431382 -28.88280000
0.95060022 -28.88270000
0.96688663 -28.88250000
0.98317305 -28.88240000
0.99945946 -28.88230000
1.01574587 -28.88230000
1.03203228 -28.88220000
1.04831870 -28.88210000
1.06460510 -28.88210000
1.08089151 -28.88510000
1.09717792 -28.88210000
1.11346433 -28.88220000
1.12975075 -28.88230000
1.14603716 -28.88240000
1.16232357 -28.88250000
1.17860997 -28.88270000
1.19489639 -28.88290000
1.21118280 -28.88320000
1.22746921 -28.88340000
1.24375562 -28.88370000
1.26004204 -28.88400000
1.27632845 -28.88440000
1.29261485 -28.88470000
1.30890126 -28.88500000
1.32518768 -28.88540000
1.34147409 -28.88580000
1.35776050 -28.88530000
1.37404691 -28.88650000
1.39033332 -28.88690000
1.40661973 -28.88730000
1.42290614 -28.88760000
1.43919255 -28.88800000
1.45547896 -28.88830000
1.47176538 -28.88860000
1.48805179 -28.88890000
1.50433820 -28.88910000
1.52062460 -28.88940000
1.53691102 -28.88960000
1.55319743 -28.88980000
1.56948384 -28.88990000
1.58577025 -28.89000000
1.60205667 -28.89010000
1.61834308 -28.89020000
1.63462948 -28.88540000
1.65084218 -28.89020000
1.66705486 -28.89010000
1.68326756 -28.89000000
1.69948025 -28.88990000
1.71569294 -28.88980000
1.73190563 -28.88960000
1.74811833 -28.88950000
1.76433101 -28.88930000
1.78054371 -28.88900000
1.79675640 -28.88880000
1.81296909 -28.88850000
1.82918178 -28.88820000
1.84539448 -28.88790000
1.86160716 -28.88770000
1.87781986 -28.88740000
1.89403255 -28.88710000
1.91024524 -28.88680000
1.92645793 -28.88650000
1.94267063 -28.88620000
1.95888331 -28.88590000
1.97509601 -28.88570000
1.99130870 -28.88540000
2.00752139 -28.88520000
2.02373408 -28.88500000
2.03994678 -28.88490000
2.05615946 -28.88470000
2.07237216 -28.88460000
2.08858485 -28.88450000
2.10479754 -28.88450000
2.12101023 -28.88440000
2.13748378 -28.88450000
2.15395733 -28.88450000
2.17043088 -28.88450000
2.18690443 -28.88460000
2.20337797 -28.88470000
2.21985152 -28.88480000
2.23632507 -28.88490000
2.25279862 -28.88500000
2.26927217 -28.88520000
2.28574571 -28.88530000
2.30221926 -28.88550000
2.31869281 -28.88560000
2.33516636 -28.88580000
2.35163991 -28.88600000
2.36811346 -28.88620000
2.38458700 -28.88640000
2.40106055 -28.88660000
2.41753410 -28.88670000
2.43400765 -28.88690000
2.45048120 -28.88710000
2.46695474 -28.88730000
2.48342829 -28.88740000
2.49990184 -28.88760000
2.51637539 -28.88770000
2.53284894 -28.88780000
2.54932249 -28.88800000
2.56579603 -28.88800000
2.58226958 -28.88810000
2.59874313 -28.88820000
2.61521668 -28.88820000
2.63169023 -28.88830000
